Title,Year,Runtime_minutes,Genres,Rating,Votes,IMDB_Link
Inspector Morse,(1987–2000),100.0,"Crime, Drama, Mystery            ",8.2,"11,715",https://www.imdb.com/title/tt0092379/
The Young Ones,(1982–1984),410.0,Comedy            ,8.2,"14,638",https://www.imdb.com/title/tt0083505/
Criminal Justice,(2019– ),50.0,"Crime, Drama, Mystery            ",8.1,"14,719",https://www.imdb.com/title/tt9095260/
The Righteous Gemstones,(2019– ),36.0,"Comedy, Drama            ",8.1,"23,565",https://www.imdb.com/title/tt8634332/
Godfather of Harlem,(2019– ),55.0,"Crime, Drama            ",8.1,"12,284",https://www.imdb.com/title/tt8080122/
Wild Wild Country,(2018),403.0,"Documentary, Crime            ",8.1,"28,910",https://www.imdb.com/title/tt7768848/
Gangs of London,(2020– ),60.0,"Action, Crime, Drama            ",8.1,"26,780",https://www.imdb.com/title/tt7661390/
The Rookie,(2018– ),43.0,"Crime, Drama            ",8.1,"32,453",https://www.imdb.com/title/tt7587890/
Bodyguard,(2018),60.0,"Crime, Drama, Thriller            ",8.1,"113,007",https://www.imdb.com/title/tt7493974/
The New Pope,(2019–2020),60.0,Drama            ,8.1,"15,200",https://www.imdb.com/title/tt7157248/
American Vandal,(2017–2018),34.0,"Comedy, Crime, Drama            ",8.1,"29,495",https://www.imdb.com/title/tt6877772/
The Keepers,(II) (2017),436.0,"Documentary, Crime, Mystery            ",8.1,"21,082",https://www.imdb.com/title/tt6792200/
Patrick Melrose,(2018),302.0,Drama            ,8.1,"27,773",https://www.imdb.com/title/tt6586318/
The Good Doctor,(2017– ),41.0,Drama            ,8.1,"85,494",https://www.imdb.com/title/tt6470478/
The End of the F***ing World,(2017–2019),25.0,"Adventure, Comedy, Crime            ",8.1,"172,646",https://www.imdb.com/title/tt6257970/
Travelers,(2016–2018),45.0,"Drama, Mystery, Sci-Fi            ",8.1,"53,179",https://www.imdb.com/title/tt5651844/
Manhunt,(II) (2017– ),60.0,"Biography, Crime, Drama            ",8.1,"56,374",https://www.imdb.com/title/tt5618256/
Jack Ryan,(2018– ),60.0,"Action, Drama, Thriller            ",8.1,"106,254",https://www.imdb.com/title/tt5057054/
Sneaky Pete,(2015–2019),60.0,Crime            ,8.1,"34,713",https://www.imdb.com/title/tt5011816/
The Deuce,(2017–2019),60.0,Drama            ,8.1,"27,717",https://www.imdb.com/title/tt4998350/
BrainDead,(2016),44.0,"Comedy, Drama, Horror            ",8.1,"11,010",https://www.imdb.com/title/tt4877736/
Good Behavior,(2016–2017),60.0,"Crime, Drama, Mystery            ",8.1,"10,399",https://www.imdb.com/title/tt4855114/
Counterpart,(2017–2019),60.0,"Drama, Sci-Fi, Thriller            ",8.1,"25,609",https://www.imdb.com/title/tt4643084/
Code Black,(2015–2018),42.0,Drama            ,8.1,"11,645",https://www.imdb.com/title/tt4452630/
Lucifer,(2016–2021),42.0,"Crime, Drama, Fantasy            ",8.1,"303,482",https://www.imdb.com/title/tt4052886/
War & Peace,(2016),380.0,"Drama, History, Romance            ",8.1,"22,695",https://www.imdb.com/title/tt3910804/
Looking for Alaska,(2019),426.0,"Drama, Romance            ",8.1,"10,034",https://www.imdb.com/title/tt3829868/
Wolf Hall,(2015),360.0,"Biography, Drama, History            ",8.1,"10,932",https://www.imdb.com/title/tt3556920/
Mozart in the Jungle,(2014–2018),29.0,"Comedy, Drama, Music            ",8.1,"24,279",https://www.imdb.com/title/tt3502172/
Galavant,(2015–2016),22.0,"Adventure, Comedy, Fantasy            ",8.1,"15,166",https://www.imdb.com/title/tt3305096/
Power,(I) (2014–2020),50.0,"Crime, Drama            ",8.1,"44,073",https://www.imdb.com/title/tt3281796/
You're the Worst,(2014–2019),30.0,"Comedy, Drama, Romance            ",8.1,"25,190",https://www.imdb.com/title/tt3228420/
How to Get Away with Murder,(2014–2020),43.0,"Crime, Drama, Mystery            ",8.1,"144,137",https://www.imdb.com/title/tt3205802/
Steven Universe,(2013–2020),11.0,"Animation, Action, Adventure            ",8.1,"31,174",https://www.imdb.com/title/tt3061046/
Quarry,(2016),60.0,"Crime, Drama, Thriller            ",8.1,"12,673",https://www.imdb.com/title/tt2980696/
When Calls the Heart,(2014– ),43.0,"Drama, Family, Romance            ",8.1,"12,179",https://www.imdb.com/title/tt2874692/
Chicago P.D.,(2014– ),43.0,"Action, Crime, Drama            ",8.1,"35,169",https://www.imdb.com/title/tt2805096/
Sharp Objects,(2018),421.0,"Crime, Drama, Mystery            ",8.1,"90,842",https://www.imdb.com/title/tt2649356/
Jonathan Strange & Mr Norrell,(2015),60.0,"Fantasy, History, War            ",8.1,"12,792",https://www.imdb.com/title/tt2548418/
TURN,(2014–2017),60.0,"Drama, History, War            ",8.1,"21,317",https://www.imdb.com/title/tt2543328/
The Fall,(I) (2013–2016),60.0,"Crime, Drama, Thriller            ",8.1,"99,181",https://www.imdb.com/title/tt2294189/
Bates Motel,(2013–2017),45.0,"Drama, Horror, Mystery            ",8.1,"104,189",https://www.imdb.com/title/tt2188671/
Ripper Street,(2012–2016),59.0,"Crime, Drama, Mystery            ",8.1,"20,695",https://www.imdb.com/title/tt2183641/
Good Omens,(2019),328.0,"Comedy, Fantasy            ",8.1,"70,886",https://www.imdb.com/title/tt1869454/
Friday Night Dinner,(2011–2020),24.0,Comedy            ,8.1,"17,405",https://www.imdb.com/title/tt1844923/
Boss,(2011–2012),56.0,"Crime, Drama            ",8.1,"17,555",https://www.imdb.com/title/tt1833285/
Conan,(2010–2021),42.0,"Comedy, Music, Talk-Show            ",8.1,"23,887",https://www.imdb.com/title/tt1637574/
Workaholics,(2011–2017),22.0,Comedy            ,8.1,"49,803",https://www.imdb.com/title/tt1610527/
Bob's Burgers,(2011– ),22.0,"Animation, Comedy            ",8.1,"74,736",https://www.imdb.com/title/tt1561755/
The Walking Dead,(2010–2022),44.0,"Drama, Horror, Thriller            ",8.1,"928,906",https://www.imdb.com/title/tt1520211/
The Big C,(2010–2013),30.0,"Comedy, Drama            ",8.1,"14,654",https://www.imdb.com/title/tt1515193/
The Night Manager,(2016),358.0,"Crime, Drama, Mystery            ",8.1,"84,790",https://www.imdb.com/title/tt1399664/
Emma,(2009),240.0,"Comedy, Drama, Romance            ",8.1,"16,445",https://www.imdb.com/title/tt1366312/
Only Murders in the Building,(2021– ),30.0,"Comedy, Crime, Drama            ",8.1,"59,816",https://www.imdb.com/title/tt12851524/
Scenes from a Marriage,(2021),296.0,Drama            ,8.1,"17,006",https://www.imdb.com/title/tt12682218/
Castle,(2009–2016),43.0,"Comedy, Crime, Drama            ",8.1,"155,693",https://www.imdb.com/title/tt1219024/
The Mentalist,(2008–2015),43.0,"Crime, Drama, Mystery            ",8.1,"176,700",https://www.imdb.com/title/tt1196946/
The Trials of Gabriel Fernandez,(2020),331.0,"Documentary, Crime            ",8.1,"10,494",https://www.imdb.com/title/tt11822998/
I May Destroy You,(2020),30.0,Drama            ,8.1,"19,154",https://www.imdb.com/title/tt11204260/
Zoey's Extraordinary Playlist,(2020–2021),60.0,"Comedy, Drama, Musical            ",8.1,"15,288",https://www.imdb.com/title/tt10314462/
"Love, Victor",(2020–2022),30.0,"Comedy, Drama, Romance            ",8.1,"13,370",https://www.imdb.com/title/tt10166602/
Damages,(2007–2012),60.0,"Crime, Drama, Mystery            ",8.1,"29,438",https://www.imdb.com/title/tt0914387/
Gavin & Stacey,(2007–2019),29.0,"Comedy, Romance            ",8.1,"19,484",https://www.imdb.com/title/tt0908454/
The Big Bang Theory,(2007–2019),22.0,"Comedy, Romance            ",8.1,"772,415",https://www.imdb.com/title/tt0898266/
Man vs. Wild,(2006–2020),60.0,"Adventure, Reality-TV            ",8.1,"22,423",https://www.imdb.com/title/tt0883772/
Lewis,(2006–2015),90.0,"Crime, Drama, Mystery            ",8.1,"12,486",https://www.imdb.com/title/tt0874608/
